Species,Medium,Temperature_C,Light_umol_m2_s,Nitrate_mg_L,Phosphate_mg_L,CO2_pct,pH,Biomass_g_L,Lipid_pct,Biofuel_mL_per_g,Energy_Output_MJ_per_kg,Source,Data_Type
Chlamydomonas reinhardtii,Synthetic Medium,22.3,347,1145.3,11.7,15.0,7.4,0.41,12.6,0.1217,20.03,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus obliquus,Synthetic Medium,23.5,535,1476.3,16.2,3.0,7.4,0.64,13.9,0.1343,20.29,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,BG-11 N-stress,25.0,120,41.0,37.0,0.04,7.0,0.65,28.4,0.2743,23.21,Maltsev 2023 MCF N/P stress 10.1186/s12934-023-02244-6,Real (measured)
Chlorella sorokiniana,BG-11,29.1,136,491.1,169.0,0.04,7.8,0.05,19.9,0.1922,21.5,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetradesmus obliquus,BG-11,15.6,81,77.7,89.7,8.0,8.8,0.05,24.4,0.2357,22.4,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus obliquus,Bold's Basal Medium,18.6,515,286.3,194.5,8.0,9.6,0.1,16.6,0.1603,20.84,Physics-constrained model (calibrated to species optima from literature),Modelled
Ettlia sp. YC001,BG-11,13.3,479,930.1,169.2,2.0,5.1,0.41,14.5,0.1401,20.41,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,Industrial Wastewater,25.0,200,110.0,18.0,2.0,7.5,1.74,14.9,0.1439,20.49,PMC11550306 Wastewater 2024,Real (measured)
Scenedesmus obliquus,ORP Wastewater,29.3,600,1048.6,39.3,2.0,8.6,0.47,16.0,0.1545,20.72,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,ORP Wastewater,27.0,750,125.0,16.0,0.04,7.7,1.28,15.3,0.1478,20.58,Supriyanto 2018 ORP 10.1016/j.egyr.2018.01.004,Real (measured)
Chaetoceros muelleri,f/2 Medium,10.6,279,2532.3,87.6,1.66,9.7,0.05,42.2,0.4076,25.98,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella sorokiniana,Wastewater,32.7,35,422.1,106.0,8.0,8.8,0.05,21.7,0.2096,21.86,Physics-constrained model (calibrated to species optima from literature),Modelled
Spirulina platensis,Zarrouk's Medium,20.5,216,979.2,7.3,0.04,10.2,0.05,9.0,0.0869,19.31,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlamydomonas reinhardtii,TAP,33.0,666,825.4,134.1,8.0,4.7,0.05,15.0,0.1449,20.52,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis sp.,f/2 Medium,21.3,192,1235.5,65.0,15.0,8.3,0.05,23.2,0.2241,22.16,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus obliquus,Wastewater,36.0,372,809.7,184.8,3.0,8.6,0.45,17.2,0.1661,20.96,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetraselmis subcordiformis,f/2 Medium,28.7,516,1255.4,72.0,15.0,8.9,0.31,21.3,0.2057,21.78,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis oculata,Walne Medium,30.2,129,1194.7,88.2,8.0,10.0,0.05,31.7,0.3062,23.87,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,Wastewater,37.4,1057,571.4,167.7,1.0,9.6,0.05,20.3,0.1961,21.58,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,Bold's Basal,25.3,458,1660.4,162.0,0.04,9.4,0.05,18.0,0.1739,21.12,Physics-constrained model (calibrated to species optima from literature),Modelled
Ankistrodesmus falcatus,BG-11 N-stress,21.8,400,2120.8,61.3,3.0,6.7,0.56,43.3,0.4182,26.2,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus quadricauda,Bold's Basal,30.3,457,1906.2,130.9,1.0,7.3,0.53,22.3,0.2154,21.98,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus obliquus,Bold's Basal Medium,31.6,226,724.8,36.9,1.0,6.2,0.17,17.2,0.1661,20.96,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,Bold's Basal,28.3,852,1562.6,92.9,0.04,5.2,0.05,17.2,0.1661,20.96,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus sp.,BG-11,19.0,182,1797.3,52.2,5.0,4.9,0.05,14.3,0.1381,20.37,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella sorokiniana,Modified BG-11,18.4,526,1081.4,69.0,1.0,8.4,0.05,20.7,0.1999,21.66,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus sp.,BG-11,15.3,48,562.3,40.2,2.0,6.4,0.05,15.0,0.1449,20.52,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus sp.,BG-11,20.0,180,300.0,45.0,2.0,7.0,1.05,13.2,0.1275,20.15,Singh 2015 RSER 10.1016/j.rser.2015.04.020,Real (measured)
Tetraselmis subcordiformis,f/2 Medium,23.2,411,45.4,51.4,15.0,6.4,0.15,25.6,0.2473,22.65,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis sp.,f/2 N-stress,18.2,356,1192.7,100.4,3.0,9.0,0.05,24.0,0.2318,22.32,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis oculata,f/2 Medium,9.6,527,345.8,102.7,0.8,10.4,0.05,30.7,0.2965,23.67,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,BG-11,25.0,80,247.0,37.0,0.04,7.0,0.95,14.5,0.1401,20.41,MedCrave Kua 2017 medium screening,Real (measured)
Chlamydomonas reinhardtii,Sewage Wastewater,12.6,237,591.5,109.6,0.04,9.3,0.05,13.2,0.1275,20.15,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus obliquus,Wastewater,29.2,47,1142.1,32.5,0.04,5.8,0.05,15.8,0.1526,20.68,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis sp.,f/2 Medium,29.2,504,1456.5,62.2,10.0,5.6,0.22,23.0,0.2222,22.12,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetraselmis sp.,f/2 Medium,26.2,869,843.2,163.2,0.04,9.6,0.05,21.4,0.2067,21.8,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetradesmus obliquus,BG-11,26.0,454,1881.5,86.7,5.0,5.7,0.34,17.1,0.1652,20.94,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella sorokiniana,Wastewater,21.5,796,208.3,131.3,8.0,7.2,0.09,22.0,0.2125,21.92,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetraselmis subcordiformis,f/2 Medium,23.9,251,746.6,11.0,2.0,7.2,0.23,19.6,0.1893,21.44,Physics-constrained model (calibrated to species optima from literature),Modelled
Chromochloris zofingiensis,BG-11,19.9,654,489.3,109.3,15.0,8.2,0.58,46.8,0.452,26.91,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetradesmus obliquus,BG-11,26.4,357,1999.4,46.6,3.0,5.8,0.28,17.8,0.1719,21.08,Physics-constrained model (calibrated to species optima from literature),Modelled
Phaeodactylum tricornutum,f/2 Medium,25.0,150,150.0,25.0,0.04,8.0,0.9,22.1,0.2135,21.94,Frontiers Enrg Res 2022 10.3389/fenrg.2022.912904,Real (measured)
Chlorella sorokiniana,Wastewater,36.7,1296,1646.1,9.3,2.0,4.8,0.05,18.5,0.1787,21.22,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus obliquus,ORP Wastewater,10.0,158,1280.3,157.0,2.0,9.3,0.05,12.9,0.1246,20.09,Physics-constrained model (calibrated to species optima from literature),Modelled
Ettlia sp. YC001,BG-11,29.5,261,731.6,170.0,0.04,8.6,0.21,18.2,0.1758,21.16,Physics-constrained model (calibrated to species optima from literature),Modelled
Chaetoceros muelleri,f/2 Medium,26.6,25,1444.6,150.8,15.0,8.6,0.05,43.1,0.4163,26.16,Physics-constrained model (calibrated to species optima from literature),Modelled
Ettlia sp. YC001,BG-11,9.8,1023,1582.2,170.3,8.0,8.3,0.66,14.4,0.1391,20.39,Physics-constrained model (calibrated to species optima from literature),Modelled
Closterium sp.,Bold's Basal,14.0,31,1973.3,46.1,12.23,5.9,0.05,17.7,0.171,21.06,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetraselmis sp.,f/2 Medium,23.6,736,166.2,176.7,15.0,8.5,0.36,24.0,0.2318,22.32,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,Modified BG-11,35.0,300,200.0,35.0,9.0,7.3,1.61,20.1,0.1941,21.54,Eze 2026 DIB 10.1016/j.dib.2026.111915,Real (measured)
Parachlorella kessleri,BG-11,24.1,369,459.5,148.9,3.0,9.4,0.05,20.1,0.1941,21.54,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis oculata,Walne Medium,30.0,150,150.0,20.0,0.04,8.0,0.75,19.4,0.1874,21.4,Converti 2009 CEP 10.1016/j.cep.2009.03.006,Real (measured)
Chlamydomonas reinhardtii,Synthetic Medium,28.5,566,226.1,122.5,0.04,6.5,0.07,17.9,0.1729,21.1,Physics-constrained model (calibrated to species optima from literature),Modelled
Chaetoceros muelleri,f/2 Medium,17.4,511,4576.1,160.5,10.0,7.9,0.45,40.0,0.3864,25.54,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella sorokiniana,Wastewater,28.5,228,365.9,181.6,5.0,6.1,0.29,20.3,0.1961,21.58,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,Bold's Basal,25.0,80,247.0,37.0,0.04,6.8,1.14,17.6,0.17,21.04,MedCrave Kua 2017 medium screening,Real (measured)
Scenedesmus obliquus,Bold's Basal Medium,25.0,180,300.0,55.0,2.0,7.5,1.2,13.9,0.1343,20.29,PMC12844148 Wastewater 2024,Real (measured)
Tetradesmus obliquus,BG-11 N-stress,15.2,683,1326.1,24.8,0.04,5.7,0.05,17.7,0.171,21.06,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloris sp.,f/2 Medium,13.9,397,1155.8,116.4,0.04,8.5,0.05,22.7,0.2193,22.06,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,Modified BG-11,25.0,300,200.0,35.0,3.0,7.1,1.38,17.8,0.1719,21.08,Eze 2026 DIB 10.1016/j.dib.2026.111915,Real (measured)
Tetraselmis subcordiformis,f/2 Medium,8.2,158,1349.9,13.9,0.04,7.9,0.05,20.2,0.1951,21.56,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetraselmis sp.,f/2 Medium,13.0,589,705.7,177.6,10.0,7.5,0.6,19.7,0.1903,21.46,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus obliquus,Wastewater,32.6,86,1531.2,62.9,0.04,8.4,0.05,16.2,0.1565,20.76,Physics-constrained model (calibrated to species optima from literature),Modelled
Ettlia sp. YC001,BG-11,23.8,1328,474.7,100.4,8.0,5.5,4.46,15.2,0.1468,20.56,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis oculata,Walne Medium,25.3,413,327.2,119.7,2.0,8.6,0.39,29.1,0.2811,23.35,Physics-constrained model (calibrated to species optima from literature),Modelled
Dunaliella salina,Modified f/2,22.2,219,1029.4,110.7,3.0,6.3,0.16,16.7,0.1613,20.86,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis oculata,Walne Medium,25.9,625,266.9,58.5,10.0,6.9,0.38,30.9,0.2985,23.71,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetradesmus obliquus,BG-11,17.6,148,1195.7,121.3,5.0,8.8,0.06,18.0,0.1739,21.12,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis sp.,f/2 N-stress,28.6,951,517.4,30.0,10.18,5.2,0.08,22.3,0.2154,21.98,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,ORP Wastewater,30.0,980,118.0,15.0,0.04,8.0,1.55,17.5,0.169,21.02,Supriyanto 2018 ORP 10.1016/j.egyr.2018.01.004,Real (measured)
Neochloris oleoabundans,BG-11 N-stress,31.0,674,1363.0,163.9,3.0,7.0,0.77,46.7,0.4511,26.89,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis oculata,f/2 Medium,12.4,528,1317.8,61.2,2.0,7.9,0.38,28.2,0.2724,23.17,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus obliquus,Wastewater,28.0,180,110.0,18.0,2.0,7.7,1.25,15.8,0.1526,20.68,PMC12844148 Wastewater 2024,Real (measured)
Scenedesmus sp.,BG-11,21.6,241,1327.5,25.5,0.04,9.2,0.05,15.3,0.1478,20.58,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis sp.,Walne Medium,21.8,783,1291.6,41.0,0.04,6.4,0.05,22.4,0.2164,22.0,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis sp.,f/2 Medium,35.0,200,200.0,25.0,5.0,9.0,0.44,19.8,0.1913,21.48,Khatoon 2020 JOUC 10.1007/s11802-020-4302-y,Real (measured)
Chlorella vulgaris,Modified BG-11,32.0,1115,1545.4,140.2,2.0,5.6,0.3,20.4,0.197,21.6,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis sp.,Walne Medium,41.0,88,211.3,126.9,3.0,8.3,0.14,26.0,0.2511,22.73,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetradesmus obliquus,BG-11 N-stress,22.6,631,552.9,133.7,10.57,6.5,0.91,17.6,0.17,21.04,Physics-constrained model (calibrated to species optima from literature),Modelled
Botryococcus braunii,BG-11,16.0,1238,412.7,20.5,15.0,8.3,0.05,27.2,0.2627,22.97,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus sp.,BG-11,18.3,315,1070.1,154.8,2.0,7.6,0.55,15.8,0.1526,20.68,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella sorokiniana,Modified BG-11,39.5,891,359.1,69.1,0.04,9.2,0.05,23.0,0.2222,22.12,Physics-constrained model (calibrated to species optima from literature),Modelled
Phaeodactylum tricornutum,f/2 Medium,20.8,415,1657.1,96.3,3.0,6.8,0.25,21.4,0.2067,21.8,Physics-constrained model (calibrated to species optima from literature),Modelled
Spirulina platensis,Zarrouk's Medium,30.6,84,775.7,186.5,1.0,10.5,0.09,9.3,0.0898,19.37,Physics-constrained model (calibrated to species optima from literature),Modelled
Chaetoceros muelleri,f/2 Medium,29.9,404,2213.5,141.6,5.0,8.3,0.42,44.3,0.4279,26.4,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella sorokiniana,Modified BG-11,37.6,379,648.4,50.0,3.0,8.0,0.44,21.9,0.2115,21.9,Physics-constrained model (calibrated to species optima from literature),Modelled
Phaeodactylum tricornutum,f/2 Medium,24.8,220,1279.3,51.3,2.0,7.5,0.43,24.4,0.2357,22.4,Physics-constrained model (calibrated to species optima from literature),Modelled
Phaeodactylum tricornutum,f/2 Medium,27.0,37,1466.0,155.1,5.0,6.4,0.06,24.4,0.2357,22.4,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetraselmis sp.,f/2 Medium,29.3,30,1115.2,103.4,0.04,7.1,0.05,20.7,0.1999,21.66,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetraselmis subcordiformis,f/2 Medium,31.1,113,258.1,31.0,5.0,8.1,0.13,24.3,0.2347,22.38,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetraselmis subcordiformis,f/2 Medium,24.5,410,314.2,50.3,5.0,5.2,0.05,19.2,0.1855,21.36,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetradesmus obliquus,BG-11,11.3,94,1899.4,93.7,5.0,5.9,0.08,16.6,0.1603,20.84,Physics-constrained model (calibrated to species optima from literature),Modelled
Isochrysis galbana,f/2 Medium,23.7,392,1124.3,166.0,0.04,10.1,0.05,22.8,0.2202,22.08,Physics-constrained model (calibrated to species optima from literature),Modelled
Ettlia sp. YC001,BG-11,29.6,179,1150.7,32.8,0.04,9.1,0.05,17.9,0.1729,21.1,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlamydomonas reinhardtii,Synthetic Medium,25.0,100,247.0,35.0,0.04,7.4,0.78,10.8,0.1043,19.67,PMC10017629 wastewater coupling 2023,Real (measured)
Ankistrodesmus falcatus,BG-11 N-stress,9.5,127,4542.2,178.2,2.0,6.6,0.13,43.3,0.4182,26.2,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella sorokiniana,Modified BG-11,25.9,1343,1991.0,154.9,2.0,8.0,0.4,17.3,0.1671,20.98,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetraselmis subcordiformis,f/2 Medium,17.3,575,1936.0,13.4,2.0,8.5,0.19,17.1,0.1652,20.94,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella sorokiniana,BG-11,23.8,440,858.7,123.0,2.0,6.7,0.23,18.6,0.1797,21.24,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus obliquus,Synthetic Medium,32.8,46,795.9,189.1,1.0,6.3,0.06,16.2,0.1565,20.76,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella sorokiniana,BG-11,17.0,175,1726.2,2.2,1.0,6.3,0.05,19.2,0.1855,21.36,Physics-constrained model (calibrated to species optima from literature),Modelled
Spirulina platensis,Zarrouk's Medium,29.4,657,1290.4,99.3,0.04,7.1,0.05,9.7,0.0937,19.45,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus sp.,BG-11,23.6,634,888.1,32.9,8.0,7.0,0.82,16.2,0.1565,20.76,Physics-constrained model (calibrated to species optima from literature),Modelled
Botryococcus braunii,Bold's Basal,31.2,280,1662.3,12.2,0.04,7.8,0.05,28.1,0.2714,23.15,Physics-constrained model (calibrated to species optima from literature),Modelled
Chromochloris zofingiensis,BG-11,13.8,794,560.8,130.3,0.04,7.0,0.09,46.8,0.452,26.91,Physics-constrained model (calibrated to species optima from literature),Modelled
Dunaliella salina,Modified f/2,8.7,258,553.2,71.6,5.0,6.5,0.05,17.2,0.1661,20.96,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,TAP,36.2,160,1701.8,128.1,3.0,7.5,0.41,19.3,0.1864,21.38,Physics-constrained model (calibrated to species optima from literature),Modelled
Phaeodactylum tricornutum,f/2 Medium,10.3,467,354.1,22.3,5.0,9.5,0.06,21.9,0.2115,21.9,Physics-constrained model (calibrated to species optima from literature),Modelled
Phaeodactylum tricornutum,f/2 Medium,11.8,424,683.8,31.7,8.0,8.2,0.49,24.1,0.2328,22.34,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis sp.,Walne Medium,35.4,992,799.5,106.3,15.0,9.7,0.17,24.6,0.2376,22.44,Physics-constrained model (calibrated to species optima from literature),Modelled
Closterium sp.,Bold's Basal,23.0,795,1644.7,63.3,15.0,6.9,0.46,17.3,0.1671,20.98,Physics-constrained model (calibrated to species optima from literature),Modelled
Neochloris oleoabundans,BG-11 N-stress,27.7,318,1414.0,18.1,2.0,4.6,0.05,45.1,0.4356,26.57,Physics-constrained model (calibrated to species optima from literature),Modelled
Parachlorella kessleri,BG-11,25.0,120,247.0,35.0,0.04,7.0,0.85,18.5,0.1787,21.22,PMC9655907 ARTP mutant 2022,Real (measured)
Tetraselmis sp.,f/2 Medium,20.5,264,1479.6,49.3,0.04,7.6,0.05,17.9,0.1729,21.1,Physics-constrained model (calibrated to species optima from literature),Modelled
Chromochloris zofingiensis,BG-11 N-stress,11.1,506,472.4,146.6,14.25,8.9,0.05,47.8,0.4617,27.11,Physics-constrained model (calibrated to species optima from literature),Modelled
Ankistrodesmus falcatus,BG-11 N-stress,19.2,165,654.5,101.2,3.33,9.2,0.05,47.6,0.4598,27.07,Physics-constrained model (calibrated to species optima from literature),Modelled
Spirulina platensis,Zarrouk's Medium,30.0,150,2500.0,150.0,0.04,9.0,2.5,6.8,0.0657,18.87,BRT review 10.1016/j.biortech.2010.06.139,Real (measured)
Chlorella vulgaris,BG-11,15.9,502,1707.5,48.3,15.0,6.1,0.49,18.2,0.1758,21.16,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlamydomonas reinhardtii,Synthetic Medium,24.0,289,87.3,21.8,0.04,4.6,0.05,18.2,0.1758,21.16,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetradesmus obliquus,BG-11,16.0,138,1313.6,29.0,2.0,5.5,0.06,15.2,0.1468,20.56,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,ORP Wastewater,31.4,866,901.5,55.9,2.0,6.9,1.01,18.2,0.1758,21.16,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus obliquus,Sewage Wastewater,25.0,100,110.0,18.0,0.04,7.6,0.72,13.8,0.1333,20.27,PMC10017629 wastewater coupling 2023,Real (measured)
Chlorella vulgaris,Wastewater,20.5,881,1108.2,187.4,5.0,6.5,1.17,19.1,0.1845,21.34,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlamydomonas reinhardtii,Sewage Wastewater,30.0,449,1242.2,128.6,3.0,9.3,0.05,14.1,0.1362,20.33,Physics-constrained model (calibrated to species optima from literature),Modelled
Ettlia sp. YC001,BG-11,22.5,770,301.5,90.5,10.0,7.6,10.57,17.1,0.1652,20.94,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella pyrenoidosa,Modified BG-11,25.2,895,1463.6,157.0,2.0,9.0,0.08,17.1,0.1652,20.94,Physics-constrained model (calibrated to species optima from literature),Modelled
Parachlorella kessleri,BG-11,8.2,207,639.9,8.2,0.04,7.6,0.05,20.1,0.1941,21.54,Physics-constrained model (calibrated to species optima from literature),Modelled
Spirulina platensis,Zarrouk's Medium,19.5,230,2828.8,10.5,0.04,10.2,0.05,7.2,0.0695,18.95,Physics-constrained model (calibrated to species optima from literature),Modelled
Spirulina platensis,Zarrouk's Medium,35.6,235,1030.3,91.8,0.04,10.5,0.05,7.2,0.0695,18.95,Physics-constrained model (calibrated to species optima from literature),Modelled
Ankistrodesmus falcatus,BG-11,10.4,196,4761.7,123.8,0.04,4.7,0.05,40.2,0.3883,25.58,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,BG-11,25.0,200,300.0,45.0,5.0,7.1,1.95,22.1,0.2135,21.94,de Jesus 2023 FBioe 10.3389/fbioe.2023.1149762,Real (measured)
Ettlia sp. YC001,BG-11,19.4,498,577.1,28.9,5.0,7.1,7.27,16.0,0.1545,20.72,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis sp.,f/2 Medium,35.0,200,200.0,25.0,5.0,6.0,0.44,24.6,0.2376,22.44,Khatoon 2020 JOUC 10.1007/s11802-020-4302-y,Real (measured)
Closterium sp.,Bold's Basal,27.6,959,1751.2,32.4,0.04,5.2,0.05,18.2,0.1758,21.16,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,Bold's Basal,18.7,615,1750.6,170.5,3.0,5.8,0.39,19.3,0.1864,21.38,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis sp.,Walne Medium,19.6,133,931.3,21.3,12.79,9.1,0.05,23.2,0.2241,22.16,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus obliquus,Wastewater,29.0,397,1754.0,106.4,0.04,8.7,0.06,15.0,0.1449,20.52,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloris sp.,f/2 Medium,14.4,201,721.0,80.0,0.04,5.1,0.05,20.7,0.1999,21.66,Physics-constrained model (calibrated to species optima from literature),Modelled
Ankistrodesmus falcatus,BG-11,28.5,186,4030.9,19.2,3.0,8.8,0.05,43.1,0.4163,26.16,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus sp.,BG-11,25.4,100,1900.0,150.2,0.04,5.4,0.05,14.4,0.1391,20.39,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus sp.,BG-11,30.0,180,300.0,45.0,2.0,7.1,1.15,14.1,0.1362,20.33,Singh 2015 RSER 10.1016/j.rser.2015.04.020,Real (measured)
Chlorella vulgaris,ORP Wastewater,22.9,244,264.2,96.2,5.0,6.8,0.6,20.9,0.2019,21.7,Physics-constrained model (calibrated to species optima from literature),Modelled
Dunaliella salina,Modified f/2,26.1,710,1230.6,97.7,0.04,6.6,0.05,16.8,0.1623,20.88,Physics-constrained model (calibrated to species optima from literature),Modelled
Ettlia sp. YC001,BG-11,27.7,404,1212.3,83.2,0.04,9.1,0.08,17.0,0.1642,20.92,Physics-constrained model (calibrated to species optima from literature),Modelled
Dunaliella salina,Modified f/2,8.7,608,112.0,186.8,14.06,7.7,0.05,20.4,0.197,21.6,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis oculata,Walne Medium,14.4,157,1163.5,80.5,1.0,10.3,0.05,27.2,0.2627,22.97,Physics-constrained model (calibrated to species optima from literature),Modelled
Isochrysis galbana,f/2 Medium,21.2,228,2269.0,20.9,0.04,9.9,0.05,22.4,0.2164,22.0,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus obliquus,ORP Wastewater,29.5,338,381.7,40.7,2.0,9.3,0.12,17.3,0.1671,20.98,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetraselmis sp.,f/2 Medium,20.3,381,1122.9,69.8,15.0,6.2,0.3,19.4,0.1874,21.4,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,TAP,31.0,339,731.6,64.3,10.0,5.3,0.14,20.5,0.198,21.62,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetraselmis subcordiformis,f/2 Medium,25.0,607,1080.6,187.1,3.0,5.4,0.09,17.0,0.1642,20.92,Physics-constrained model (calibrated to species optima from literature),Modelled
Neochloris oleoabundans,BG-11,23.4,386,67.0,145.1,1.0,5.9,0.14,57.1,0.5515,28.98,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetraselmis subcordiformis,f/2 Medium,22.4,219,133.1,154.0,2.0,6.9,0.25,21.8,0.2106,21.88,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetradesmus obliquus,BG-11 N-stress,13.7,627,1290.0,80.7,0.04,4.5,0.05,16.6,0.1603,20.84,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis oculata,f/2 Medium,22.5,54,695.3,84.5,8.0,6.2,0.05,29.6,0.2859,23.45,Physics-constrained model (calibrated to species optima from literature),Modelled
Phaeodactylum tricornutum,f/2 Medium,20.0,86,1793.7,32.9,1.0,6.6,0.05,24.1,0.2328,22.34,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus sp.,BG-11,24.0,753,200.3,56.6,15.0,6.9,0.76,18.2,0.1758,21.16,Physics-constrained model (calibrated to species optima from literature),Modelled
Chromochloris zofingiensis,BG-11,28.6,803,610.0,32.5,3.0,7.4,0.81,48.0,0.4636,27.15,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis sp.,f/2 Medium,25.0,200,200.0,25.0,5.0,7.5,0.38,22.3,0.2154,21.98,Khatoon 2020 JOUC 10.1007/s11802-020-4302-y,Real (measured)
Chlorella vulgaris,Bold's Basal,17.0,1125,333.4,10.9,6.55,9.1,0.05,21.2,0.2048,21.76,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetraselmis sp.,f/2 Medium,22.8,475,778.8,162.8,0.04,9.5,0.05,21.3,0.2057,21.78,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetraselmis sp.,f/2 Medium,24.3,512,1726.5,59.6,0.04,8.6,0.05,20.2,0.1951,21.56,Physics-constrained model (calibrated to species optima from literature),Modelled
